trial_id,population,leg,band,target_epoch,trial_kind,injected_value
D4c8553e5871e3620,heldout,outbound,15_30,32,dvv,0.0002
D7ba601538d1191b9,heldout,outbound,15_30,4,dvv,0.0005
D66e092e866fb4580,heldout,outbound,15_30,34,dvv,-0.005
D6cc5aea528686e6d,heldout,outbound,15_30,42,dvv,-0.001
D600b92769c22b910,heldout,outbound,15_30,28,dvv,0.0002
D296052f99940fa4c,heldout,outbound,15_30,10,dvv,0.01
D46db6974f74e5098,heldout,outbound,15_30,34,dvv,-0.002
D2194416827c7e2ab,heldout,outbound,15_30,6,dvv,0.005
D1381af2ca4b6cc35,heldout,outbound,15_30,8,dvv,0.001
D1b643b9a7a1534e6,heldout,outbound,15_30,44,dvv,0.005
D307d6cd8480bc2c0,heldout,outbound,15_30,18,dvv,0.0001
D48a47c6d99d5d44f,heldout,outbound,15_30,6,dvv,0.001
D266c62ef7db858e4,heldout,outbound,15_30,6,dvv,-0.001
D5ee97f48c2f89da3,heldout,outbound,15_30,8,dvv,0.0002
D6e109d9ada2a31ab,heldout,outbound,15_30,8,dvv,-0.0002
D0bebcb42b5ed4e3c,heldout,outbound,15_30,28,dvv,-0.0001
D22fd86888bd4eba6,heldout,outbound,15_30,12,source_jitter,-0.000195139375
D6ae3a7832abd2720,heldout,outbound,15_30,24,dvv,-0.0005
D094eb33332f4ec87,heldout,outbound,15_30,18,dvv,-0.01
D22add256b1a82a17,heldout,outbound,15_30,24,dvv,0.005
D068aaf560b9bb284,heldout,outbound,15_30,28,dvv,-0.0002
D608d413798dbc88f,heldout,outbound,15_30,44,dvv,0.01
D67e096b30d9d489d,heldout,outbound,15_30,38,source_jitter,0.000705614705
D7f4523be8f919563,heldout,outbound,15_30,42,dvv,-0.005
D3f1d36024f931fdd,heldout,outbound,15_30,30,dvv,0.0001
D0a2aebd466f950b6,heldout,outbound,15_30,2,constant_shift,0.005
D2303f9ebdec49148,heldout,outbound,15_30,30,dvv,-0.01
D226110a498ae8ce3,heldout,outbound,15_30,22,dvv,0.0001
D66c8980a77bc69fb,heldout,outbound,15_30,6,dvv,-0.002
D76ac35a9c2b78735,heldout,outbound,15_30,18,source_jitter,-0.000312586401
D684d5fcf0890098a,heldout,outbound,15_30,16,dvv,0.01
D5358d95fad6e42dd,heldout,outbound,15_30,2,dvv,-0.005
D709cf7175bf37f0f,heldout,outbound,15_30,4,dvv,-0.0001
D0f1fda1bd51e90bb,heldout,outbound,15_30,44,dvv,-0.0001
D7c657232fb63a988,heldout,outbound,15_30,20,source_jitter,0.000652855893
D23fa0456002db56c,heldout,outbound,15_30,0,dvv,0.0005
D3029599c20ffa369,heldout,outbound,15_30,38,dvv,0.005
D1b7084755d228d1f,heldout,outbound,15_30,44,dvv,-0.005
D58a13b83148d4978,heldout,outbound,15_30,0,constant_shift,0.005
D5da9e643f5ae770b,heldout,outbound,15_30,10,dvv,-0.005
D3ac03f6b09d0150a,heldout,outbound,15_30,22,dvv,0.002
D6ddb3d66e2c07978,heldout,outbound,15_30,14,constant_shift,0.005
D73810ed892206e01,heldout,outbound,15_30,22,source_jitter,-0.00015048153
D0f2033a2ab75877d,heldout,outbound,15_30,20,dvv,0.005
D2091af57b2100e49,heldout,outbound,15_30,14,dvv,-0.0005
D376384f85a7d028c,heldout,outbound,15_30,16,dvv,0.001
D415df2ec46ed6a8a,heldout,outbound,15_30,22,constant_shift,0.005
D39e859814500c1a9,heldout,outbound,15_30,34,dvv,-0.001
D2e8d29facb1c27ca,heldout,outbound,15_30,26,source_jitter,-0.000449402448
D2e98da803fd2cbd9,heldout,outbound,15_30,36,dvv,0.001
D3c79e160d8ee34f4,heldout,outbound,15_30,14,dvv,0.01
D4c87dc912a41b7c7,heldout,outbound,15_30,34,dvv,-0.0001
D70d3b087905c3dec,heldout,outbound,15_30,28,dvv,0.0005
D738942fc76f93789,heldout,outbound,15_30,22,dvv,-0.0002
D29ac24a2f82470ac,heldout,outbound,15_30,8,source_jitter,8.59316496e-05
D660a5159c8d00fd9,heldout,outbound,15_30,22,dvv,-0.01
D1fbdbdf2439507df,heldout,outbound,15_30,26,dvv,0.0001
D73d8da08ac3784dd,heldout,outbound,15_30,32,dvv,-0.01
D319e93e7671e0a6f,heldout,outbound,15_30,16,dvv,-0.005
D09598052ad3ead2c,heldout,outbound,15_30,40,dvv,-0.01
D642b67fa1eeadb2f,heldout,outbound,15_30,38,dvv,-0.01
D2bb40e6386b9a21b,heldout,outbound,15_30,0,dvv,0.0001
D18e7dfd626ce5b89,heldout,outbound,15_30,42,dvv,-0.002
D69ad481303548c13,heldout,outbound,15_30,16,source_jitter,-0.000185582407
D6a5b63d41b8a01c8,heldout,outbound,15_30,26,dvv,0.002
D5760257cdacd054a,heldout,outbound,15_30,22,dvv,0.0005
D6209894611bacce1,heldout,outbound,15_30,22,dvv,0
D5f57a9ac9850fb8c,heldout,outbound,15_30,10,constant_shift,0.005
D76ae2de4a78181d2,heldout,outbound,15_30,12,dvv,0.0005
D03bf1698ecfa4ed1,heldout,outbound,15_30,20,dvv,0.002
D32cd08ac7610617f,heldout,outbound,15_30,18,dvv,0.0005
D5334bc086d9901ba,heldout,outbound,15_30,14,dvv,0.0005
D7845819f806fc1d3,heldout,outbound,15_30,16,dvv,-0.0002
D3b6b70d05174bd5e,heldout,outbound,15_30,0,dvv,0.005
D3fdd985d84f699dc,heldout,outbound,15_30,28,dvv,0
D0a160e0b9b57e336,heldout,outbound,15_30,8,dvv,-0.002
D3d14b693e2030291,heldout,outbound,15_30,16,dvv,-0.002
D04a86899128dd913,heldout,outbound,15_30,14,dvv,-0.001
D41f91ebcf346c611,heldout,outbound,15_30,12,dvv,0.0001
D1b1bd2e027397367,heldout,outbound,15_30,12,dvv,-0.005
D63c25155e8d74477,heldout,outbound,15_30,8,dvv,0.002
D1a1e58e5ffb4ac84,heldout,outbound,15_30,26,dvv,-0.002
D3a5c1e72480f1376,heldout,outbound,15_30,32,source_jitter,2.70589019e-05
D6b4f9bae1599d9ef,heldout,outbound,15_30,16,dvv,0.0005
D78fd8cec7379fb96,heldout,outbound,15_30,26,dvv,-0.0002
D5c7822af2f96792c,heldout,outbound,15_30,0,source_jitter,0.000267680973
D379496ac66c8372e,heldout,outbound,15_30,12,dvv,0.0002
D58868aead7efc291,heldout,outbound,15_30,12,dvv,0.002
D683f183e40952213,heldout,outbound,15_30,36,dvv,-0.0005
D1f9bff28df79c72b,heldout,outbound,15_30,2,dvv,-0.0005
D3d5ed51c3ee28196,heldout,outbound,15_30,24,dvv,0.001
D379414f791145b3f,heldout,outbound,15_30,6,constant_shift,0.005
D598b29bfe08855f3,heldout,outbound,15_30,42,dvv,0.01
D5ae91b99ddda5fdb,heldout,outbound,15_30,20,dvv,-0.01
D4cdda0a015f51593,heldout,outbound,15_30,36,constant_shift,0.005
D5d41f05b82683f5a,heldout,outbound,15_30,12,dvv,0.001
D70365a5b1ba972ec,heldout,outbound,15_30,38,dvv,0.0001
D31254831423e6ad7,heldout,outbound,15_30,6,dvv,-0.005
D51d5be471eb283b7,heldout,outbound,15_30,24,dvv,-0.005
D05e2ba956d4ce3d4,heldout,outbound,15_30,6,dvv,0.0005
D26ac3223997eb7a8,heldout,outbound,15_30,28,dvv,-0.002
D3e4ba6b468434c6c,heldout,outbound,15_30,12,dvv,-0.0002
D5e2b7c4ae5d684a9,heldout,outbound,15_30,20,dvv,-0.0001
D4def29431336a142,heldout,outbound,15_30,30,dvv,-0.005
D65862b0298307c99,heldout,outbound,15_30,10,dvv,0
D234a8506b4a2952e,heldout,outbound,15_30,38,dvv,-0.002
D12f63dd69e46ea0c,heldout,outbound,15_30,28,dvv,0.002
D3c62cc442329a7b5,heldout,outbound,15_30,36,dvv,-0.01
D61572fab1dfcb9e7,heldout,outbound,15_30,2,dvv,0.002
D6555ad1fd5890d67,heldout,outbound,15_30,36,dvv,-0.001
D7aa66a52fff8600a,heldout,outbound,15_30,28,dvv,-0.0005
D7ac4428bb8bc05e6,heldout,outbound,15_30,32,dvv,-0.002
D56543272e8a1c8e7,heldout,outbound,15_30,38,dvv,0
D4141886bd2f7a882,heldout,outbound,15_30,4,dvv,0.002
D5449892b822a7b6c,heldout,outbound,15_30,18,dvv,-0.001
D3b80eb85e146ffb9,heldout,outbound,15_30,18,dvv,-0.0005
D50e23c07e11ce9cf,heldout,outbound,15_30,40,dvv,-0.005
D429b342d6677c590,heldout,outbound,15_30,34,dvv,0.002
D7803f7bdb8c831fd,heldout,outbound,15_30,34,dvv,0
D680a0b14963bd9b7,heldout,outbound,15_30,12,dvv,-0.001
D1262ad639165292e,heldout,outbound,15_30,36,dvv,-0.002
D570fcdbbe6d29cdb,heldout,outbound,15_30,30,dvv,-0.0002
D4374f9a5ed09864b,heldout,outbound,15_30,14,dvv,-0.0001
D311e2c7f88886dd8,heldout,outbound,15_30,34,dvv,0.005
D60a61c7dbde6f9e4,heldout,outbound,15_30,32,dvv,0
D02f1718808cc5c68,heldout,outbound,15_30,20,dvv,-0.0002
